FULL SYSTEM TEST
---------------
Populating A and B...
Calculating reference values of C...
CWRITE: low word, high word, address 0 | 0 @300 @308
CWRITE: low word, high word, address 0 | 0 @310 @318
CWRITE: low word, high word, address 0 | 0 @320 @328
CWRITE: low word, high word, address 0 | 0 @330 @338
CWRITE: low word, high word, address 0 | 0 @340 @348
CWRITE: low word, high word, address 0 | 0 @350 @358
CWRITE: low word, high word, address 0 | 0 @360 @368
CWRITE: low word, high word, address 0 | 0 @370 @378
Loading A and B into AFU...
data word val, addr: 633d11e9445e1f38 | 100
data word val, addr: ab1eb38d42e7b6c8 | 200
data word val, addr: 5c6931f33a14a299 | 108
data word val, addr: 7195b04b7de6782b | 208
data word val, addr: ddef0b82a9e57c97 | 110
data word val, addr: ac67ecdad9b7ab7e | 210
data word val, addr: d6046fb91200b5d1 | 118
data word val, addr: ad4daa1d825fb7c8 | 218
data word val, addr: eff7d63d3bf18eb8 | 120
data word val, addr: 5fad412bac20b892 | 220
data word val, addr: 8d4a83b5c585cea6 | 128
data word val, addr: b5f2ad9c428a1965 | 228
data word val, addr: 68e08a686aa70623 | 130
data word val, addr: 7918326d5dcb281d | 230
data word val, addr: a999dfcff54577f1 | 138
data word val, addr: d048b0802d611979 | 238
data word val, addr: 8c34bdc076fce507 | 100
data word val, addr: ec688d520ff3c55d | 200
data word val, addr: 5cea5f3c5cdd3b3d | 108
data word val, addr: a6173a9aaacc4cc2 | 208
data word val, addr: 4b7277dc264be62a | 110
data word val, addr: 966a30970a93349d | 210
data word val, addr: 5d8424e1b9803567 | 118
data word val, addr: 95278fe3204996df | 218
data word val, addr: d6dd36fbc90191eb | 120
data word val, addr: dbc414a20fe1b165 | 220
data word val, addr: cdc567597c6aa298 | 128
data word val, addr: c4d70d4c1ba19d73 | 228
data word val, addr: 73ac8641087612b7 | 130
data word val, addr: 958a3f3614e16d2f | 230
data word val, addr: e573926997ca72d2 | 138
data word val, addr: 1e4e22350cdd7ffb | 238
data word val, addr: ab1eb38d42e7b6c8 | 200
data word val, addr: 7195b04b7de6782b | 208
data word val, addr: ac67ecdad9b7ab7e | 210
data word val, addr: ad4daa1d825fb7c8 | 218
data word val, addr: 5fad412bac20b892 | 220
