FULL SYSTEM TEST
---------------
Populating A and B...
Calculating reference values of C...
CWRITE: low word, high word, address 0 | 0 @300 @308
CWRITE: low word, high word, address 0 | 0 @310 @318
CWRITE: low word, high word, address 0 | 0 @320 @328
CWRITE: low word, high word, address 0 | 0 @330 @338
CWRITE: low word, high word, address 0 | 0 @340 @348
CWRITE: low word, high word, address 0 | 0 @350 @358
CWRITE: low word, high word, address 0 | 0 @360 @368
CWRITE: low word, high word, address 0 | 0 @370 @378
Loading A and B into AFU...
data word val, addr: 68b83dd53e122faf | 100
data word val, addr: ebf5bd1a50e0aa55 | 200
data word val, addr: f0116070818d552b | 108
data word val, addr: 3b9212959ac4ab1a | 208
data word val, addr: 2e37ea6eb060e52f | 110
data word val, addr: 57b3b47b5d3977f9 | 210
data word val, addr: aec4c2c3c676be4e | 118
data word val, addr: 6c9c2f2f400c13a6 | 218
data word val, addr: 19de678a9698361f | 120
data word val, addr: 15ddb2235d7e3903 | 220
data word val, addr: 9465b35e94958d4d | 128
data word val, addr: 30898b075032cd8 | 228
data word val, addr: 6fd583f922e40691 | 130
data word val, addr: cbc795b1c1652ab9 | 230
data word val, addr: f46f6c8593d49ecc | 138
data word val, addr: c3ae0389755033e5 | 238
data word val, addr: f0da3247fb316e3d | 100
data word val, addr: 3549e8f2a632e2c | 200
data word val, addr: ae8e2c4c67d09632 | 108
data word val, addr: b5b1a5f87ec192ca | 208
data word val, addr: 25f70178515a4893 | 110
data word val, addr: bf1d23607272bd0d | 210
data word val, addr: 50ed62c18e17eebd | 118
data word val, addr: b3836ddedfb3eee6 | 218
data word val, addr: a9cdc760fd4762c2 | 120
data word val, addr: f5d97ba84534a35d | 220
data word val, addr: 871d48996c8a673e | 128
data word val, addr: 3fc5258a4250b281 | 228
data word val, addr: fa112e18a0d9ca74 | 130
data word val, addr: 99f02f1696d112a9 | 230
data word val, addr: 3aa6d0e78975f1bc | 138
data word val, addr: 79640e6a03283ea8 | 238
data word val, addr: b1a1938d6e80b40c | 100
data word val, addr: 68b71fab5170133b | 200
data word val, addr: c8c64bfbd348e5ac | 108
data word val, addr: 28741377982c4912 | 208
data word val, addr: 596b684a4dc41e0f | 110
data word val, addr: 22f577415969f75a | 210
